Date,EmplID,Gender,Age,EtnicGroup,FP,TermDate,IsNewHire,BU,HireDate,PayTypeID,TermReason,AgeGroupID,TenureDays,TenureMonths,BadHires
12/1/2014 0:00,13604,C,36,6,P,12/2/2014 0:00,0,7,9/3/2014 0:00,H,U,2,89,2,0
12/1/2014 0:00,18810,C,68,3,P,12/2/2014 0:00,0,9,10/7/2003 0:00,H,U,3,4073,135,0
12/1/2014 0:00,20116,D,41,3,F,12/2/2014 0:00,0,21,8/31/2012 0:00,H,V,2,822,27,0
12/1/2014 0:00,4000,C,53,6,P,12/2/2014 0:00,0,11,6/19/2014 0:00,H,V,3,165,5,0
12/1/2014 0:00,1960,D,18,6,P,12/2/2014 0:00,0,4,11/15/2014 0:00,H,V,1,16,0,1
12/1/2014 0:00,22208,C,48,5,F,12/2/2014 0:00,0,15,10/17/2014 0:00,S,V,2,45,1,1
12/1/2014 0:00,6200,C,20,1,P,12/1/2014 0:00,0,4,10/3/2014 0:00,H,V,1,59,1,1
12/1/2014 0:00,6538,C,20,1,P,12/1/2014 0:00,0,2,5/11/2011 0:00,H,V,1,1300,43,0
12/1/2014 0:00,21664,C,20,1,P,12/1/2014 0:00,0,2,10/29/2014 0:00,H,V,1,33,1,1
12/1/2014 0:00,22900,D,20,1,P,12/1/2014 0:00,0,14,10/17/2014 0:00,H,V,1,45,1,1
12/1/2014 0:00,2334,D,19,1,P,12/1/2014 0:00,0,5,5/9/2014 0:00,H,V,1,206,6,0
12/1/2014 0:00,24784,C,21,1,P,12/1/2014 0:00,0,15,7/14/2012 0:00,H,V,1,870,28,0
12/1/2014 0:00,6120,C,22,1,P,12/1/2014 0:00,0,3,7/24/2014 0:00,H,V,1,130,4,0
12/1/2014 0:00,6464,C,22,1,P,12/1/2014 0:00,0,2,1/29/2014 0:00,H,V,1,306,10,0
12/1/2014 0:00,1246,D,22,1,P,12/1/2014 0:00,0,4,6/20/2014 0:00,H,V,1,164,5,0
12/1/2014 0:00,29050,C,18,1,P,12/1/2014 0:00,0,24,11/20/2014 0:00,H,V,1,11,0,1
12/1/2014 0:00,3656,D,18,1,P,12/1/2014 0:00,0,8,10/3/2014 0:00,H,V,1,59,1,1
12/1/2014 0:00,11604,D,18,1,P,12/1/2014 0:00,0,12,11/7/2014 0:00,H,V,1,24,0,1
12/1/2014 0:00,15404,D,26,1,P,12/1/2014 0:00,0,15,10/9/2014 0:00,H,V,1,53,1,1
12/1/2014 0:00,16918,D,42,1,P,12/1/2014 0:00,0,15,11/4/2014 0:00,H,V,2,27,0,1
12/1/2014 0:00,28794,D,29,1,P,12/1/2014 0:00,0,17,6/26/2014 0:00,H,V,1,158,5,0
12/1/2014 0:00,30430,D,62,1,P,12/1/2014 0:00,0,21,8/30/2005 0:00,H,V,3,3380,112,0
12/1/2014 0:00,32624,C,17,1,P,12/1/2014 0:00,0,14,9/3/2014 0:00,H,V,1,89,2,0
12/1/2014 0:00,23288,C,56,1,P,12/1/2014 0:00,0,10,7/7/1987 0:00,H,V,3,10009,333,0
12/1/2014 0:00,690,C,32,1,P,12/1/2014 0:00,0,1,9/24/2014 0:00,H,V,2,68,2,0
12/1/2014 0:00,33366,D,69,1,F,12/1/2014 0:00,0,16,8/1/1998 0:00,H,V,3,5966,198,0
12/1/2014 0:00,20790,D,20,1,P,12/1/2014 0:00,0,6,7/13/2012 0:00,H,U,1,871,29,0
12/1/2014 0:00,7676,C,21,1,P,12/1/2014 0:00,0,8,9/10/2014 0:00,H,U,1,82,2,0
12/1/2014 0:00,12162,D,28,1,P,12/1/2014 0:00,0,9,9/4/2014 0:00,H,U,1,88,2,0
12/1/2014 0:00,22430,D,44,1,P,12/1/2014 0:00,0,99,9/3/2014 0:00,H,U,2,89,2,0
12/1/2014 0:00,8882,C,30,1,P,12/1/2014 0:00,0,1,9/18/2014 0:00,H,U,2,74,2,0
12/1/2014 0:00,1824,C,19,2,P,12/1/2014 0:00,0,1,6/4/2014 0:00,H,V,1,180,5,0
12/1/2014 0:00,26174,D,22,2,P,12/1/2014 0:00,0,13,11/16/2013 0:00,H,V,1,380,12,0
12/1/2014 0:00,4120,D,41,2,P,12/1/2014 0:00,0,10,9/9/2014 0:00,H,V,2,83,2,0
12/1/2014 0:00,32086,C,16,2,P,12/1/2014 0:00,0,2,8/7/2014 0:00,H,V,1,116,3,0
12/1/2014 0:00,13694,D,20,2,P,12/1/2014 0:00,0,16,9/12/2014 0:00,H,U,1,80,2,0
12/1/2014 0:00,11336,D,19,2,P,12/1/2014 0:00,0,10,4/18/2014 0:00,H,U,1,227,7,0
12/1/2014 0:00,11090,D,30,2,P,12/1/2014 0:00,0,10,5/30/2014 0:00,H,U,2,185,6,0
12/1/2014 0:00,14306,C,25,6,P,12/1/2014 0:00,0,16,10/7/2014 0:00,H,U,1,55,1,1
12/1/2014 0:00,1568,D,20,6,P,12/1/2014 0:00,0,3,8/21/2014 0:00,H,V,1,102,3,0
12/1/2014 0:00,25074,D,35,6,P,12/1/2014 0:00,0,19,8/27/2014 0:00,H,V,2,96,3,0
11/1/2014 0:00,4648,C,20,1,P,11/30/2014 0:00,0,12,9/3/2014 0:00,H,V,1,59,1,0
11/1/2014 0:00,31512,D,20,1,P,11/30/2014 0:00,0,16,8/19/2014 0:00,H,V,1,74,2,0
11/1/2014 0:00,5886,D,20,1,P,11/30/2014 0:00,0,7,8/17/2012 0:00,H,V,1,806,26,0
11/1/2014 0:00,96,D,19,1,P,11/30/2014 0:00,0,3,10/9/2014 0:00,H,V,1,23,0,1
11/1/2014 0:00,21466,D,18,1,P,11/30/2014 0:00,0,21,10/8/2014 0:00,H,V,1,24,0,1
11/1/2014 0:00,8350,D,24,1,P,11/30/2014 0:00,0,8,10/15/2014 0:00,H,V,1,17,0,1
11/1/2014 0:00,28984,C,24,1,P,11/30/2014 0:00,0,13,3/16/2011 0:00,H,V,1,1326,44,0
11/1/2014 0:00,3822,D,55,1,P,11/30/2014 0:00,0,12,9/18/2014 0:00,H,V,3,44,1,0
11/1/2014 0:00,23698,D,63,1,P,11/30/2014 0:00,0,12,11/5/2002 0:00,H,V,3,4379,145,0
11/1/2014 0:00,23622,D,60,1,P,11/30/2014 0:00,0,16,4/28/2000 0:00,H,V,3,5300,176,0
11/1/2014 0:00,24786,D,44,1,P,11/30/2014 0:00,0,7,5/30/2014 0:00,H,V,2,155,5,0
11/1/2014 0:00,29394,D,40,1,P,11/30/2014 0:00,0,24,10/23/2014 0:00,H,V,2,9,0,1
11/1/2014 0:00,30372,D,62,1,P,11/30/2014 0:00,0,17,11/15/1995 0:00,H,V,3,6926,230,0
11/1/2014 0:00,27906,D,30,1,P,11/30/2014 0:00,0,18,10/31/2014 0:00,H,V,2,1,0,1
11/1/2014 0:00,32678,C,17,1,P,11/30/2014 0:00,0,9,2/25/2014 0:00,H,V,1,249,8,0
11/1/2014 0:00,28516,C,28,1,P,11/30/2014 0:00,0,5,7/31/2008 0:00,H,V,1,2284,76,0
11/1/2014 0:00,760,C,65,1,P,11/30/2014 0:00,1,4,11/13/2014 0:00,H,V,3,12,0,1
11/1/2014 0:00,23330,C,62,1,P,11/30/2014 0:00,0,5,10/18/2001 0:00,H,V,3,4762,158,0
11/1/2014 0:00,23608,D,62,1,F,11/30/2014 0:00,0,10,11/20/1996 0:00,H,V,3,6555,218,0
11/1/2014 0:00,23596,D,64,1,F,11/30/2014 0:00,0,7,11/9/1982 0:00,H,V,3,11680,389,0
11/1/2014 0:00,134,D,21,1,F,11/30/2014 0:00,0,3,11/1/2012 0:00,H,V,1,730,24,0
11/1/2014 0:00,8876,C,19,1,P,11/30/2014 0:00,1,1,11/6/2014 0:00,H,U,1,5,0,1
11/1/2014 0:00,14010,C,21,1,P,11/30/2014 0:00,0,16,10/23/2014 0:00,H,U,1,9,0,1
11/1/2014 0:00,12122,C,22,1,P,11/30/2014 0:00,0,11,9/26/2014 0:00,H,U,1,36,1,0
11/1/2014 0:00,20266,D,27,1,P,11/30/2014 0:00,0,20,10/7/2014 0:00,H,U,1,25,0,1
11/1/2014 0:00,30908,D,20,2,P,11/30/2014 0:00,0,18,10/8/2014 0:00,H,V,1,24,0,1
11/1/2014 0:00,31188,D,20,2,P,11/30/2014 0:00,0,13,8/21/2014 0:00,H,V,1,72,2,0
11/1/2014 0:00,2178,C,21,2,P,11/30/2014 0:00,0,7,9/4/2014 0:00,H,V,1,58,1,0
11/1/2014 0:00,17250,C,25,2,P,11/30/2014 0:00,0,16,9/6/2014 0:00,H,V,1,56,1,0
11/1/2014 0:00,22182,D,19,2,P,11/30/2014 0:00,0,13,10/29/2014 0:00,H,U,1,3,0,1
11/1/2014 0:00,11464,D,56,2,P,11/30/2014 0:00,0,12,10/17/2014 0:00,H,U,3,15,0,1
11/1/2014 0:00,22596,C,19,3,P,11/30/2014 0:00,0,96,10/14/2014 0:00,H,V,1,18,0,1
11/1/2014 0:00,31772,D,52,6,P,11/30/2014 0:00,0,22,8/21/2014 0:00,H,V,3,72,2,0
11/1/2014 0:00,9202,C,24,6,P,11/30/2014 0:00,0,4,10/16/2014 0:00,H,V,1,16,0,1
11/1/2014 0:00,5210,D,27,4,P,11/30/2014 0:00,0,1,7/12/2012 0:00,H,V,1,842,28,0
11/1/2014 0:00,4892,D,41,4,P,11/30/2014 0:00,0,10,8/15/2013 0:00,H,V,2,443,14,0
